Open,High,Low,Close,Adj Close,Volume,ds,y
187.14999389648438,188.44000244140625,183.88999938964844,185.63999938964844,185.40341186523438,82488700,2024-01-02,185.63999938964844
184.22000122070312,185.8800048828125,183.42999267578125,184.25,184.01519775390625,58414500,2024-01-03,184.25
182.14999389648438,183.08999633789062,180.8800048828125,181.91000366210938,181.6781768798828,71983600,2024-01-04,181.91000366210938
181.99000549316406,182.75999450683594,180.1699981689453,181.17999267578125,180.9490966796875,62303300,2024-01-05,181.17999267578125
182.08999633789062,185.60000610351562,181.5,185.55999755859375,185.32351684570312,59144500,2024-01-08,185.55999755859375
183.9199981689453,185.14999389648438,182.72999572753906,185.13999938964844,184.904052734375,42841800,2024-01-09,185.13999938964844
184.35000610351562,186.39999389648438,183.9199981689453,186.19000244140625,185.9527130126953,46792900,2024-01-10,186.19000244140625
186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789062,185.35348510742188,49128400,2024-01-11,185.58999633789062
186.05999755859375,186.74000549316406,185.19000244140625,185.9199981689453,185.6830596923828,40444700,2024-01-12,185.9199981689453
182.16000366210938,184.25999450683594,180.92999267578125,183.6300048828125,183.39598083496094,65603000,2024-01-16,183.6300048828125
181.27000427246094,182.92999267578125,180.3000030517578,182.67999267578125,182.4471893310547,47317400,2024-01-17,182.67999267578125
186.08999633789062,189.13999938964844,185.8300018310547,188.6300048828125,188.38961791992188,78005800,2024-01-18,188.6300048828125
189.3300018310547,191.9499969482422,188.82000732421875,191.55999755859375,191.3158721923828,68741000,2024-01-19,191.55999755859375
192.3000030517578,195.3300018310547,192.25999450683594,193.88999938964844,193.6428985595703,60133900,2024-01-22,193.88999938964844
195.02000427246094,195.75,193.8300018310547,195.17999267578125,194.93125915527344,42355600,2024-01-23,195.17999267578125
195.4199981689453,196.3800048828125,194.33999633789062,194.5,194.2521209716797,53631300,2024-01-24,194.5
195.22000122070312,196.27000427246094,193.11000061035156,194.1699981689453,193.92254638671875,54822100,2024-01-25,194.1699981689453
194.27000427246094,194.75999450683594,191.94000244140625,192.4199981689453,192.17477416992188,44594000,2024-01-26,192.4199981689453
192.00999450683594,192.1999969482422,189.5800018310547,191.72999572753906,191.48565673828125,47145600,2024-01-29,191.72999572753906
190.94000244140625,191.8000030517578,187.47000122070312,188.0399932861328,187.80035400390625,55859400,2024-01-30,188.0399932861328
187.0399932861328,187.10000610351562,184.35000610351562,184.39999389648438,184.1649932861328,55467800,2024-01-31,184.39999389648438
183.99000549316406,186.9499969482422,183.82000732421875,186.86000061035156,186.6218719482422,64885400,2024-02-01,186.86000061035156
179.86000061035156,187.3300018310547,179.25,185.85000610351562,185.6131591796875,102518000,2024-02-02,185.85000610351562
188.14999389648438,189.25,185.83999633789062,187.67999267578125,187.44081115722656,69668800,2024-02-05,187.67999267578125
186.86000061035156,189.30999755859375,186.77000427246094,189.3000030517578,189.0587615966797,43490800,2024-02-06,189.3000030517578
190.63999938964844,191.0500030517578,188.61000061035156,189.41000366210938,189.1686248779297,53439000,2024-02-07,189.41000366210938
189.38999938964844,189.5399932861328,187.35000610351562,188.32000732421875,188.08001708984375,40962000,2024-02-08,188.32000732421875
188.64999389648438,189.99000549316406,188.0,188.85000610351562,188.85000610351562,45155200,2024-02-09,188.85000610351562
188.4199981689453,188.6699981689453,186.7899932861328,187.14999389648438,187.14999389648438,41781900,2024-02-12,187.14999389648438
185.77000427246094,186.2100067138672,183.50999450683594,185.0399932861328,185.0399932861328,56529500,2024-02-13,185.0399932861328
185.32000732421875,185.52999877929688,182.44000244140625,184.14999389648438,184.14999389648438,54630500,2024-02-14,184.14999389648438
183.5500030517578,184.49000549316406,181.35000610351562,183.86000061035156,183.86000061035156,65434500,2024-02-15,183.86000061035156
183.4199981689453,184.85000610351562,181.6699981689453,182.30999755859375,182.30999755859375,49701400,2024-02-16,182.30999755859375
181.7899932861328,182.42999267578125,180.0,181.55999755859375,181.55999755859375,53665600,2024-02-20,181.55999755859375
181.94000244140625,182.88999938964844,180.66000366210938,182.32000732421875,182.32000732421875,41529700,2024-02-21,182.32000732421875
183.47999572753906,184.9600067138672,182.4600067138672,184.3699951171875,184.3699951171875,52292200,2024-02-22,184.3699951171875
185.00999450683594,185.0399932861328,182.22999572753906,182.52000427246094,182.52000427246094,45119700,2024-02-23,182.52000427246094
182.24000549316406,182.75999450683594,180.64999389648438,181.16000366210938,181.16000366210938,40867400,2024-02-26,181.16000366210938
181.10000610351562,183.9199981689453,179.55999755859375,182.6300048828125,182.6300048828125,54318900,2024-02-27,182.6300048828125
182.50999450683594,183.1199951171875,180.1300048828125,181.4199981689453,181.4199981689453,48953900,2024-02-28,181.4199981689453
